name,path,scope,category,description
Marketing_local,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Marketing_Folders,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Accounting_Printers,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Accounting_Folders,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Accounting_Local,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
HR_local,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
HR_Folders,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
IT_Printers,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
IT_Folders,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
IT_Local,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Management_Printers,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Management_Folders,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
PR_Printers,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
PR_Folders,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Operations_Printers,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Operations_Folders,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Legal_Printers,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Legal_Folders,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Purchasing_Printers,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
Purchasing_Folders,"OU=Mylab Groups,DC=mylab,DC=local",DomainLocal,Security,
